year,total_death,Jews_and_others_total_death,Arabs_total_death
2000,134,117,17
2000,141,131,10
2000,134,118,16
2000,137,118,19
2000,133,117,16
2000,165,153,12
2000,131,116,15
2000,125,116,9
2000,140,128,12
2000,144,134,10
2000,125,109,16
2000,143,133,10
2000,114,101,13
2000,148,137,11
2000,125,117,8
2000,143,130,13
2000,153,142,11
2000,150,131,19
2000,175,162,13
2000,142,129,13
2000,129,122,7
2000,146,134,12
2000,153,143,10
2000,136,119,17
2000,136,122,14
2000,154,134,20
2000,142,125,17
2000,140,124,16
2000,113,101,12
2000,131,118,13
2000,140,122,18
2000,138,123,15
2000,138,128,10
2000,140,121,19
2000,131,119,12
2000,144,122,22
2000,137,127,10
2000,117,109,8
2000,121,107,14
2000,133,125,8
2000,128,117,11
2000,124,111,13
2000,113,103,10
2000,128,120,8
2000,116,108,8
2000,100,97,3
2000,116,109,7
2000,127,111,16
2000,127,114,13
2000,113,101,12
2000,116,106,10
2000,125,111,14
2000,93,88,5
2000,131,122,9
2000,124,114,10
2000,96,86,10
2000,95,85,10
2000,114,107,7
2000,121,107,14
2000,103,97,6
2000,118,108,10
2000,116,106,10
2000,112,99,13
2000,98,89,9
2000,117,105,12
2000,97,88,9
2000,107,100,7
2000,117,99,18
2000,115,102,13
2000,101,91,10
2000,96,88,8
2000,127,113,14
2000,108,100,8
2000,119,112,7
2000,96,84,12
2000,110,94,16
2000,117,105,12
2000,113,98,15
2000,103,94,9
2000,106,99,7
2000,110,95,15
2000,120,107,13
2000,103,97,6
2000,102,93,9
2000,103,92,11
2000,110,105,5
2000,120,113,7
2000,102,94,8
2000,114,105,9
2000,86,83,3
2000,104,97,7
2000,105,96,9
2000,119,107,12
2000,96,86,10
2000,95,86,9
2000,98,89,9
2000,110,108,2
2000,106,92,14
2000,81,76,5
2000,98,92,6
2000,95,86,9
2000,105,97,8
2000,113,100,13
2000,119,109,10
2000,95,90,5
2000,106,100,6
2000,98,89,9
2000,114,97,17
2000,98,88,10
2000,93,84,9
2000,101,91,10
2000,98,83,15
2000,79,72,7
2000,96,90,6
2000,106,97,9
2000,94,82,12
2000,98,93,5
2000,92,87,5
2000,87,81,6
2000,91,85,6
2000,90,83,7
2000,99,86,13
2000,99,89,10
2000,87,81,6
2000,76,70,6
2000,108,100,8
2000,101,94,7
2000,93,84,9
2000,88,80,8
2000,87,74,13
2000,97,90,7
2000,114,106,8
2000,92,76,16
2000,89,80,9
2000,107,100,7
2000,81,73,8
2000,89,79,10
2000,103,94,9
2000,100,93,7
2000,82,77,5
2000,93,85,8
2000,85,82,3
2000,91,85,6
2000,81,72,9
2000,77,69,8
2000,103,93,10
2000,89,76,13
2000,80,76,4
2000,102,91,11
2000,94,84,10
2000,87,80,7
2000,82,75,7
2000,96,90,6
2000,86,78,8
2000,112,101,11
2000,103,97,6
2000,84,79,5
2000,92,86,6
2000,87,76,11
2000,94,81,13
2000,81,72,9
2000,83,76,7
2000,94,83,11
2000,96,84,12
2000,94,88,6
2000,103,93,10
2000,88,79,9
2000,84,76,8
2000,82,74,8
2000,109,93,16
2000,86,75,11
2000,82,76,6
2000,89,83,6
2000,94,88,6
2000,93,85,8
2000,86,80,6
2000,75,68,7
2000,96,88,8
2000,82,79,3
2000,99,93,6
2000,108,103,5
2000,90,80,10
2000,73,68,5
2000,104,94,10
2000,96,87,9
2000,103,93,10
2000,105,98,7
2000,103,94,9
2000,106,98,8
2000,92,84,8
2000,98,83,15
2000,84,76,8
2000,88,86,2
2000,93,90,3
2000,100,85,15
2000,95,87,8
2000,82,73,9
2000,75,68,7
2000,101,95,6
2000,94,85,9
2000,81,71,10
2000,77,66,11
2000,92,81,11
2000,89,85,4
2000,107,100,7
2000,88,82,6
2000,98,91,7
2000,88,86,2
2000,83,75,8
2000,104,94,10
